prompt,answer
Who is Nikola Tesla?,Nikola Tesla was a Serbian-American inventor and electrical engineer born in 1856.
Where was Nikola Tesla born?,Nikola Tesla was born on July 10 1856 in Smiljan in modern day Croatia.
What did Nikola Tesla invent?,Nikola Tesla invented the alternating current AC electrical system the Tesla coil and contributed to radio technology.
What is Tesla most famous for?,Tesla is most famous for developing the alternating current AC power system used worldwide today.
Who did Nikola Tesla work for?,Tesla worked for Thomas Edison before starting his own laboratories and companies.
When did Nikola Tesla die?,Nikola Tesla died on January 7 1943 in New York City at the age of 86.
What was the conflict between Tesla and Edison?,Tesla and Edison had a famous rivalry known as the War of Currents where Edison promoted DC power and Tesla promoted AC power.
Who funded Nikola Tesla?,JP Morgan and George Westinghouse were among the major funders of Tesla work.
What is the Tesla coil?,The Tesla coil is an electrical resonant transformer circuit invented by Tesla in 1891 used to produce high voltage electricity.
Where did Tesla die?,Tesla died alone and poor in room 3327 of the New Yorker Hotel in New York City.
What nationality was Nikola Tesla?,Nikola Tesla was Serbian-American.
What year was Nikola Tesla born?,Nikola Tesla was born in 1856.
What power system did Tesla develop?,Tesla developed the alternating current AC power system.
What power system did Edison promote?,Edison promoted the direct current DC power system.
What was the War of Currents?,The War of Currents was a rivalry between Tesla and Edison over whether AC or DC power should be used worldwide.
Did Tesla die rich or poor?,Tesla died very poor and alone despite his many contributions to science and technology.
What is Nikola Tesla known for in radio?,Tesla contributed to the development of radio technology and some credit him as one of its inventors.
How old was Tesla when he died?,Tesla was 86 years old when he died in 1943.
Where did Tesla work after Edison?,After leaving Edison Tesla started his own laboratories and worked with George Westinghouse.
What is the unit of magnetic flux density named after Tesla?,The unit of magnetic flux density is called the Tesla named in honor of Nikola Tesla.
